mode,view_key,H_trained,report_step,model,use_dyn,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,keep_mean
F_traffic_time_query_static,traffic_time_weather_query,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,36,DCRNN,False,4.4674882888793945,0.014472354935027623,6.982124328613281,0.028506897749832425,0.18942873179912567,0.0014466592086236564,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,36,STGCN,False,4.239223289489746,0.09541787902360248,6.574402809143066,0.151307770123937,0.17394911348819733,0.003885841927118431,100.0
G_time_query_static,traffic_time_query,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
G_time_query_static,traffic_time_query,12,12,DCRNN,False,3.891343927383423,0.012190952040252454,6.028699588775635,0.016908391441224704,0.16065124571323394,0.0009079997109653224,100.0
G_time_query_static,traffic_time_query,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
G_time_query_static,traffic_time_query,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
G_time_query_static,traffic_time_query,12,12,STGCN,False,3.896637964248657,0.08371466235942505,6.10025053024292,0.13502678754914957,0.1549813210964203,0.0029369668514410805,100.0
G_time_query_static,traffic_time_query,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
G_time_query_static,traffic_time_query,36,12,DCRNN,False,3.8897315502166747,0.004820730112815929,6.025645637512207,0.027249259821040643,0.16300601065158843,0.0011191774714171994,100.0
G_time_query_static,traffic_time_query,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
G_time_query_static,traffic_time_query,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
G_time_query_static,traffic_time_query,36,12,STGCN,False,3.805546426773071,0.035080773189217915,5.879152584075928,0.06594185296654574,0.15191209614276885,0.002659344995423672,100.0
G_time_query_static,traffic_time_query,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
G_time_query_static,traffic_time_query,36,36,DCRNN,False,4.475107097625733,0.019781141491570908,6.955357074737549,0.055624817510822384,0.18937009274959565,0.001560323519143347,100.0
G_time_query_static,traffic_time_query,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
G_time_query_static,traffic_time_query,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
G_time_query_static,traffic_time_query,36,36,STGCN,False,4.2648638725280765,0.0902012585303483,6.623666763305664,0.15271829763008532,0.17494671940803527,0.005784078179430536,100.0
H_time_query_causal,traffic_time_query,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
H_time_query_causal,traffic_time_query,12,12,CausalSTGCN,True,3.9253949165344237,0.04647346791324694,6.0673164367675785,0.10400379519376819,0.15289027392864227,0.00224885035216004,100.0
