snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
45,4319,3,83,0.00033266533066132265,0.07903780068728522,0.08440366972477065,0.5542168674698795,0.057026270776987076,0.4145589768886566
46,4415,1,223,0.0008937875751503006,0.18153846153846154,0.21651376146788992,0.5291479820627802,0.21743981540203094,0.8593020439147949
46,4415,2,278,0.0011142284569138276,0.18077474892395984,0.23119266055045873,0.45323741007194246,0.15712504088878632,1.0
46,4415,3,89,0.0003567134268537074,0.08934707903780069,0.09541284403669725,0.5842696629213483,0.060012154281139374,0.4621668756008148
47,4511,1,214,0.0008577154308617235,0.17857142857142858,0.21100917431192662,0.5373831775700935,0.21179789304733276,1.0
47,4511,2,289,0.0011583166332665331,0.19313304721030042,0.24770642201834864,0.4671280276816609,0.1437242031097412,0.7834426760673523
47,4511,3,89,0.0003567134268537074,0.08191126279863481,0.08807339449541285,0.5393258426966292,0.06909219175577164,0.5518523454666138
48,4607,1,211,0.000845691382765531,0.16846986089644514,0.2,0.5165876777251185,0.22190766036510468,0.8281345367431641
48,4607,2,276,0.0011062124248496993,0.18641618497109827,0.23669724770642203,0.4673913043478261,0.16811972856521606,1.0
48,4607,3,89,0.0003567134268537074,0.08006814310051108,0.08623853211009175,0.5280898876404494,0.06861744821071625,0.6170002222061157
49,4703,1,216,0.0008657314629258517,0.16897081413210446,0.2018348623853211,0.5092592592592593,0.24035044014453888,1.0
49,4703,2,286,0.0011462925851703407,0.19054441260744986,0.24403669724770644,0.46503496503496505,0.1628543585538864,0.9525043964385986
49,4703,3,81,0.0003246492985971944,0.07191780821917808,0.07706422018348624,0.5185185185185185,0.07595708966255188,0.7186148762702942
50,4799,1,228,0.0009138276553106213,0.1801526717557252,0.21651376146788992,0.5175438596491229,0.21295851469039917,1.0
50,4799,2,280,0.0011222444889779559,0.19738751814223512,0.24954128440366974,0.4857142857142857,0.150387242436409,0.8575771450996399
50,4799,3,86,0.000344689378757515,0.06949152542372881,0.07522935779816514,0.47674418604651164,0.07358884066343307,0.6074978113174438
51,4895,1,224,0.0008977955911823647,0.1722560975609756,0.20733944954128442,0.5044642857142857,0.21020102500915527,1.0
51,4895,2,280,0.0011222444889779559,0.20087336244541484,0.25321100917431194,0.4928571428571429,0.1527496874332428,0.783715546131134
51,4895,3,78,0.000312625250501002,0.07228915662650602,0.07706422018348624,0.5384615384615384,0.06154421716928482,0.3369844853878021
